INSERT INTO BES.Events VALUES(1,'EventsName-1','EventsDescription-1');
INSERT INTO BES.Events VALUES(2,'EventsName-2','EventsDescription-2');
INSERT INTO BES.Events VALUES(3,'EventsName-3','EventsDescription-3');
INSERT INTO BES.Events VALUES(4,'EventsName-4','EventsDescription-4');
INSERT INTO BES.Events VALUES(5,'EventsName-5','EventsDescription-5');
INSERT INTO BES.Events VALUES(6,'EventsName-6','EventsDescription-6');
INSERT INTO BES.Events VALUES(7,'EventsName-7','EventsDescription-7');
INSERT INTO BES.Events VALUES(8,'EventsName-8','EventsDescription-8');
INSERT INTO BES.Events VALUES(9,'EventsName-9','EventsDescription-9');
INSERT INTO BES.Events VALUES(10,'EventsName-10','EventsDescription-10');
INSERT INTO BES.Events VALUES(11,'EventsName-11','EventsDescription-11');
INSERT INTO BES.Events VALUES(12,'EventsName-12','EventsDescription-12');
INSERT INTO BES.Events VALUES(13,'EventsName-13','EventsDescription-13');
INSERT INTO BES.Events VALUES(14,'EventsName-14','EventsDescription-14');
INSERT INTO BES.Events VALUES(15,'EventsName-15','EventsDescription-15');
INSERT INTO BES.Events VALUES(16,'EventsName-16','EventsDescription-16');
INSERT INTO BES.Events VALUES(17,'EventsName-17','EventsDescription-17');
INSERT INTO BES.Events VALUES(18,'EventsName-18','EventsDescription-18');
INSERT INTO BES.Events VALUES(19,'EventsName-19','EventsDescription-19');
INSERT INTO BES.Events VALUES(20,'EventsName-20','EventsDescription-20');
INSERT INTO BES.Events VALUES(21,'EventsName-21','EventsDescription-21');
INSERT INTO BES.Events VALUES(22,'EventsName-22','EventsDescription-22');
INSERT INTO BES.Events VALUES(23,'EventsName-23','EventsDescription-23');
INSERT INTO BES.Events VALUES(24,'EventsName-24','EventsDescription-24');
INSERT INTO BES.Events VALUES(25,'EventsName-25','EventsDescription-25');
INSERT INTO BES.Events VALUES(26,'EventsName-26','EventsDescription-26');
INSERT INTO BES.Events VALUES(27,'EventsName-27','EventsDescription-27');
INSERT INTO BES.Events VALUES(28,'EventsName-28','EventsDescription-28');
INSERT INTO BES.Events VALUES(29,'EventsName-29','EventsDescription-29');
INSERT INTO BES.Events VALUES(30,'EventsName-30','EventsDescription-30');
INSERT INTO BES.Events VALUES(31,'EventsName-31','EventsDescription-31');
INSERT INTO BES.Events VALUES(32,'EventsName-32','EventsDescription-32');
INSERT INTO BES.Events VALUES(33,'EventsName-33','EventsDescription-33');
INSERT INTO BES.Events VALUES(34,'EventsName-34','EventsDescription-34');
INSERT INTO BES.Events VALUES(35,'EventsName-35','EventsDescription-35');
INSERT INTO BES.Events VALUES(36,'EventsName-36','EventsDescription-36');
INSERT INTO BES.Events VALUES(37,'EventsName-37','EventsDescription-37');
INSERT INTO BES.Events VALUES(38,'EventsName-38','EventsDescription-38');
INSERT INTO BES.Events VALUES(39,'EventsName-39','EventsDescription-39');
INSERT INTO BES.Events VALUES(40,'EventsName-40','EventsDescription-40');
INSERT INTO BES.Events VALUES(41,'EventsName-41','EventsDescription-41');
INSERT INTO BES.Events VALUES(42,'EventsName-42','EventsDescription-42');
INSERT INTO BES.Events VALUES(43,'EventsName-43','EventsDescription-43');
INSERT INTO BES.Events VALUES(44,'EventsName-44','EventsDescription-44');
INSERT INTO BES.Events VALUES(45,'EventsName-45','EventsDescription-45');
INSERT INTO BES.Events VALUES(46,'EventsName-46','EventsDescription-46');
INSERT INTO BES.Events VALUES(47,'EventsName-47','EventsDescription-47');
INSERT INTO BES.Events VALUES(48,'EventsName-48','EventsDescription-48');
INSERT INTO BES.Events VALUES(49,'EventsName-49','EventsDescription-49');
INSERT INTO BES.Events VALUES(50,'EventsName-50','EventsDescription-50');
INSERT INTO BES.Events VALUES(51,'EventsName-51','EventsDescription-51');
INSERT INTO BES.Events VALUES(52,'EventsName-52','EventsDescription-52');
INSERT INTO BES.Events VALUES(53,'EventsName-53','EventsDescription-53');
INSERT INTO BES.Events VALUES(54,'EventsName-54','EventsDescription-54');
INSERT INTO BES.Events VALUES(55,'EventsName-55','EventsDescription-55');
INSERT INTO BES.Events VALUES(56,'EventsName-56','EventsDescription-56');
INSERT INTO BES.Events VALUES(57,'EventsName-57','EventsDescription-57');
INSERT INTO BES.Events VALUES(58,'EventsName-58','EventsDescription-58');
INSERT INTO BES.Events VALUES(59,'EventsName-59','EventsDescription-59');
INSERT INTO BES.Events VALUES(60,'EventsName-60','EventsDescription-60');
INSERT INTO BES.Events VALUES(61,'EventsName-61','EventsDescription-61');
INSERT INTO BES.Events VALUES(62,'EventsName-62','EventsDescription-62');
INSERT INTO BES.Events VALUES(63,'EventsName-63','EventsDescription-63');
INSERT INTO BES.Events VALUES(64,'EventsName-64','EventsDescription-64');
INSERT INTO BES.Events VALUES(65,'EventsName-65','EventsDescription-65');
INSERT INTO BES.Events VALUES(66,'EventsName-66','EventsDescription-66');
INSERT INTO BES.Events VALUES(67,'EventsName-67','EventsDescription-67');
INSERT INTO BES.Events VALUES(68,'EventsName-68','EventsDescription-68');
INSERT INTO BES.Events VALUES(69,'EventsName-69','EventsDescription-69');
INSERT INTO BES.Events VALUES(70,'EventsName-70','EventsDescription-70');
INSERT INTO BES.Events VALUES(71,'EventsName-71','EventsDescription-71');
INSERT INTO BES.Events VALUES(72,'EventsName-72','EventsDescription-72');
INSERT INTO BES.Events VALUES(73,'EventsName-73','EventsDescription-73');
INSERT INTO BES.Events VALUES(74,'EventsName-74','EventsDescription-74');
INSERT INTO BES.Events VALUES(75,'EventsName-75','EventsDescription-75');
INSERT INTO BES.Events VALUES(76,'EventsName-76','EventsDescription-76');
INSERT INTO BES.Events VALUES(77,'EventsName-77','EventsDescription-77');
INSERT INTO BES.Events VALUES(78,'EventsName-78','EventsDescription-78');
INSERT INTO BES.Events VALUES(79,'EventsName-79','EventsDescription-79');
INSERT INTO BES.Events VALUES(80,'EventsName-80','EventsDescription-80');
INSERT INTO BES.Events VALUES(81,'EventsName-81','EventsDescription-81');
INSERT INTO BES.Events VALUES(82,'EventsName-82','EventsDescription-82');
INSERT INTO BES.Events VALUES(83,'EventsName-83','EventsDescription-83');
