INSERT INTO BES.Exams VALUES(1,'ExamsName-1','ExamsDescription-1');
INSERT INTO BES.Exams VALUES(2,'ExamsName-2','ExamsDescription-2');
INSERT INTO BES.Exams VALUES(3,'ExamsName-3','ExamsDescription-3');
INSERT INTO BES.Exams VALUES(4,'ExamsName-4','ExamsDescription-4');
INSERT INTO BES.Exams VALUES(5,'ExamsName-5','ExamsDescription-5');
INSERT INTO BES.Exams VALUES(6,'ExamsName-6','ExamsDescription-6');
INSERT INTO BES.Exams VALUES(7,'ExamsName-7','ExamsDescription-7');
INSERT INTO BES.Exams VALUES(8,'ExamsName-8','ExamsDescription-8');
INSERT INTO BES.Exams VALUES(9,'ExamsName-9','ExamsDescription-9');
INSERT INTO BES.Exams VALUES(10,'ExamsName-10','ExamsDescription-10');
INSERT INTO BES.Exams VALUES(11,'ExamsName-11','ExamsDescription-11');
INSERT INTO BES.Exams VALUES(12,'ExamsName-12','ExamsDescription-12');
INSERT INTO BES.Exams VALUES(13,'ExamsName-13','ExamsDescription-13');
INSERT INTO BES.Exams VALUES(14,'ExamsName-14','ExamsDescription-14');
INSERT INTO BES.Exams VALUES(15,'ExamsName-15','ExamsDescription-15');
INSERT INTO BES.Exams VALUES(16,'ExamsName-16','ExamsDescription-16');
INSERT INTO BES.Exams VALUES(17,'ExamsName-17','ExamsDescription-17');
INSERT INTO BES.Exams VALUES(18,'ExamsName-18','ExamsDescription-18');
INSERT INTO BES.Exams VALUES(19,'ExamsName-19','ExamsDescription-19');
INSERT INTO BES.Exams VALUES(20,'ExamsName-20','ExamsDescription-20');
INSERT INTO BES.Exams VALUES(21,'ExamsName-21','ExamsDescription-21');
INSERT INTO BES.Exams VALUES(22,'ExamsName-22','ExamsDescription-22');
INSERT INTO BES.Exams VALUES(23,'ExamsName-23','ExamsDescription-23');
INSERT INTO BES.Exams VALUES(24,'ExamsName-24','ExamsDescription-24');
INSERT INTO BES.Exams VALUES(25,'ExamsName-25','ExamsDescription-25');
INSERT INTO BES.Exams VALUES(26,'ExamsName-26','ExamsDescription-26');
INSERT INTO BES.Exams VALUES(27,'ExamsName-27','ExamsDescription-27');
INSERT INTO BES.Exams VALUES(28,'ExamsName-28','ExamsDescription-28');
INSERT INTO BES.Exams VALUES(29,'ExamsName-29','ExamsDescription-29');
INSERT INTO BES.Exams VALUES(30,'ExamsName-30','ExamsDescription-30');
INSERT INTO BES.Exams VALUES(31,'ExamsName-31','ExamsDescription-31');
INSERT INTO BES.Exams VALUES(32,'ExamsName-32','ExamsDescription-32');
INSERT INTO BES.Exams VALUES(33,'ExamsName-33','ExamsDescription-33');
INSERT INTO BES.Exams VALUES(34,'ExamsName-34','ExamsDescription-34');
INSERT INTO BES.Exams VALUES(35,'ExamsName-35','ExamsDescription-35');
INSERT INTO BES.Exams VALUES(36,'ExamsName-36','ExamsDescription-36');
INSERT INTO BES.Exams VALUES(37,'ExamsName-37','ExamsDescription-37');
INSERT INTO BES.Exams VALUES(38,'ExamsName-38','ExamsDescription-38');
