INSERT INTO BES.Management VALUES(1,'ManagementName-1','ManagementDescription-1');
INSERT INTO BES.Management VALUES(2,'ManagementName-2','ManagementDescription-2');
INSERT INTO BES.Management VALUES(3,'ManagementName-3','ManagementDescription-3');
INSERT INTO BES.Management VALUES(4,'ManagementName-4','ManagementDescription-4');
INSERT INTO BES.Management VALUES(5,'ManagementName-5','ManagementDescription-5');
INSERT INTO BES.Management VALUES(6,'ManagementName-6','ManagementDescription-6');
INSERT INTO BES.Management VALUES(7,'ManagementName-7','ManagementDescription-7');
INSERT INTO BES.Management VALUES(8,'ManagementName-8','ManagementDescription-8');
INSERT INTO BES.Management VALUES(9,'ManagementName-9','ManagementDescription-9');
INSERT INTO BES.Management VALUES(10,'ManagementName-10','ManagementDescription-10');
INSERT INTO BES.Management VALUES(11,'ManagementName-11','ManagementDescription-11');
INSERT INTO BES.Management VALUES(12,'ManagementName-12','ManagementDescription-12');
INSERT INTO BES.Management VALUES(13,'ManagementName-13','ManagementDescription-13');
INSERT INTO BES.Management VALUES(14,'ManagementName-14','ManagementDescription-14');
INSERT INTO BES.Management VALUES(15,'ManagementName-15','ManagementDescription-15');
INSERT INTO BES.Management VALUES(16,'ManagementName-16','ManagementDescription-16');
INSERT INTO BES.Management VALUES(17,'ManagementName-17','ManagementDescription-17');
INSERT INTO BES.Management VALUES(18,'ManagementName-18','ManagementDescription-18');
INSERT INTO BES.Management VALUES(19,'ManagementName-19','ManagementDescription-19');
INSERT INTO BES.Management VALUES(20,'ManagementName-20','ManagementDescription-20');
INSERT INTO BES.Management VALUES(21,'ManagementName-21','ManagementDescription-21');
INSERT INTO BES.Management VALUES(22,'ManagementName-22','ManagementDescription-22');
INSERT INTO BES.Management VALUES(23,'ManagementName-23','ManagementDescription-23');
INSERT INTO BES.Management VALUES(24,'ManagementName-24','ManagementDescription-24');
INSERT INTO BES.Management VALUES(25,'ManagementName-25','ManagementDescription-25');
INSERT INTO BES.Management VALUES(26,'ManagementName-26','ManagementDescription-26');
INSERT INTO BES.Management VALUES(27,'ManagementName-27','ManagementDescription-27');
INSERT INTO BES.Management VALUES(28,'ManagementName-28','ManagementDescription-28');
INSERT INTO BES.Management VALUES(29,'ManagementName-29','ManagementDescription-29');
INSERT INTO BES.Management VALUES(30,'ManagementName-30','ManagementDescription-30');
INSERT INTO BES.Management VALUES(31,'ManagementName-31','ManagementDescription-31');
INSERT INTO BES.Management VALUES(32,'ManagementName-32','ManagementDescription-32');
INSERT INTO BES.Management VALUES(33,'ManagementName-33','ManagementDescription-33');
INSERT INTO BES.Management VALUES(34,'ManagementName-34','ManagementDescription-34');
