INSERT INTO BES.Teacher VALUES(1,'TeacherName-1','TeacherDescription-1');
INSERT INTO BES.Teacher VALUES(2,'TeacherName-2','TeacherDescription-2');
INSERT INTO BES.Teacher VALUES(3,'TeacherName-3','TeacherDescription-3');
INSERT INTO BES.Teacher VALUES(4,'TeacherName-4','TeacherDescription-4');
INSERT INTO BES.Teacher VALUES(5,'TeacherName-5','TeacherDescription-5');
INSERT INTO BES.Teacher VALUES(6,'TeacherName-6','TeacherDescription-6');
INSERT INTO BES.Teacher VALUES(7,'TeacherName-7','TeacherDescription-7');
INSERT INTO BES.Teacher VALUES(8,'TeacherName-8','TeacherDescription-8');
INSERT INTO BES.Teacher VALUES(9,'TeacherName-9','TeacherDescription-9');
INSERT INTO BES.Teacher VALUES(10,'TeacherName-10','TeacherDescription-10');
INSERT INTO BES.Teacher VALUES(11,'TeacherName-11','TeacherDescription-11');
INSERT INTO BES.Teacher VALUES(12,'TeacherName-12','TeacherDescription-12');
INSERT INTO BES.Teacher VALUES(13,'TeacherName-13','TeacherDescription-13');
INSERT INTO BES.Teacher VALUES(14,'TeacherName-14','TeacherDescription-14');
INSERT INTO BES.Teacher VALUES(15,'TeacherName-15','TeacherDescription-15');
INSERT INTO BES.Teacher VALUES(16,'TeacherName-16','TeacherDescription-16');
INSERT INTO BES.Teacher VALUES(17,'TeacherName-17','TeacherDescription-17');
INSERT INTO BES.Teacher VALUES(18,'TeacherName-18','TeacherDescription-18');
INSERT INTO BES.Teacher VALUES(19,'TeacherName-19','TeacherDescription-19');
INSERT INTO BES.Teacher VALUES(20,'TeacherName-20','TeacherDescription-20');
INSERT INTO BES.Teacher VALUES(21,'TeacherName-21','TeacherDescription-21');
INSERT INTO BES.Teacher VALUES(22,'TeacherName-22','TeacherDescription-22');
INSERT INTO BES.Teacher VALUES(23,'TeacherName-23','TeacherDescription-23');
INSERT INTO BES.Teacher VALUES(24,'TeacherName-24','TeacherDescription-24');
INSERT INTO BES.Teacher VALUES(25,'TeacherName-25','TeacherDescription-25');
INSERT INTO BES.Teacher VALUES(26,'TeacherName-26','TeacherDescription-26');
INSERT INTO BES.Teacher VALUES(27,'TeacherName-27','TeacherDescription-27');
INSERT INTO BES.Teacher VALUES(28,'TeacherName-28','TeacherDescription-28');
INSERT INTO BES.Teacher VALUES(29,'TeacherName-29','TeacherDescription-29');
INSERT INTO BES.Teacher VALUES(30,'TeacherName-30','TeacherDescription-30');
INSERT INTO BES.Teacher VALUES(31,'TeacherName-31','TeacherDescription-31');
INSERT INTO BES.Teacher VALUES(32,'TeacherName-32','TeacherDescription-32');
INSERT INTO BES.Teacher VALUES(33,'TeacherName-33','TeacherDescription-33');
INSERT INTO BES.Teacher VALUES(34,'TeacherName-34','TeacherDescription-34');
INSERT INTO BES.Teacher VALUES(35,'TeacherName-35','TeacherDescription-35');
INSERT INTO BES.Teacher VALUES(36,'TeacherName-36','TeacherDescription-36');
INSERT INTO BES.Teacher VALUES(37,'TeacherName-37','TeacherDescription-37');
INSERT INTO BES.Teacher VALUES(38,'TeacherName-38','TeacherDescription-38');
INSERT INTO BES.Teacher VALUES(39,'TeacherName-39','TeacherDescription-39');
INSERT INTO BES.Teacher VALUES(40,'TeacherName-40','TeacherDescription-40');
INSERT INTO BES.Teacher VALUES(41,'TeacherName-41','TeacherDescription-41');
INSERT INTO BES.Teacher VALUES(42,'TeacherName-42','TeacherDescription-42');
INSERT INTO BES.Teacher VALUES(43,'TeacherName-43','TeacherDescription-43');
INSERT INTO BES.Teacher VALUES(44,'TeacherName-44','TeacherDescription-44');
INSERT INTO BES.Teacher VALUES(45,'TeacherName-45','TeacherDescription-45');
INSERT INTO BES.Teacher VALUES(46,'TeacherName-46','TeacherDescription-46');
INSERT INTO BES.Teacher VALUES(47,'TeacherName-47','TeacherDescription-47');
INSERT INTO BES.Teacher VALUES(48,'TeacherName-48','TeacherDescription-48');
INSERT INTO BES.Teacher VALUES(49,'TeacherName-49','TeacherDescription-49');
INSERT INTO BES.Teacher VALUES(50,'TeacherName-50','TeacherDescription-50');
