sno,class,method,action,time
"0","Controller(1)","getData1","Start","00:10:23.044874300"
"1","ActionOne","getBooks","Start","00:10:23.047873800"
"2","ActionOne","getBooks","Completed","00:10:24.905615700"
"3","ActionOne","getEvents","Start","00:10:24.908613100"
"4","ActionOne","getEvents","Completed","00:10:26.431952600"
"5","ActionOne","getExams","Start","00:10:26.433976900"
"6","ActionOne","getExams","Completed","00:10:28.160415"
"7","ActionOne","getManagement","Start","00:10:28.163409400"
"8","ActionOne","getManagement","Completed","00:10:29.838007600"
"9","ActionOne","getParents","Start","00:10:29.841016600"
"10","ActionOne","getParents","Completed","00:10:31.276385300"
"11","ActionOne","getSports","Start","00:10:31.279386600"
"12","ActionOne","getSports","Completed","00:10:32.892349900"
"13","ActionOne","getStudents","Start","00:10:32.895959300"
"14","ActionOne","getStudents","Completed","00:10:33.966153900"
"15","ActionOne","getTeacher","Start","00:10:33.969152700"
"16","ActionOne","getTeacher","Completed","00:10:35.227998900"
"17","Controller(2)","getData1","End","00:10:35.231005300"
"18","Controller(3)","getData1","Start","00:10:35.278154600"
"19","ActionOne","getBooks","Start","00:10:35.278154600"
"20","ActionOne","getBooks","Completed","00:10:36.523404100"
"21","ActionOne","getEvents","Start","00:10:36.526401500"
"22","ActionOne","getEvents","Completed","00:10:37.711819900"
"23","ActionOne","getExams","Start","00:10:37.713693500"
"24","ActionOne","getExams","Completed","00:10:38.917386200"
"25","ActionOne","getManagement","Start","00:10:38.921453"
"26","ActionOne","getManagement","Completed","00:10:39.984220400"
"27","ActionOne","getParents","Start","00:10:39.987228500"
"28","ActionOne","getParents","Completed","00:10:41.192892500"
"29","ActionOne","getSports","Start","00:10:41.194903200"
"30","ActionOne","getSports","Completed","00:10:42.589232500"
"31","ActionOne","getStudents","Start","00:10:42.592235"
"32","ActionOne","getStudents","Completed","00:10:43.834571300"
"33","ActionOne","getTeacher","Start","00:10:43.837572100"
"34","ActionOne","getTeacher","Completed","00:10:45.110359300"
"35","Controller(4)","getData1","End","00:10:45.112984400"
"36","Controller(5)","getData1","Start","00:10:45.130799400"
"37","ActionOne","getBooks","Start","00:10:45.131409500"
